company,label,code
飞新达,0,832872
慧为智能,0,832876
源达股份,1,832881
瑞晟智能,0,832884
如涵控股,0,832887
深捷科技,0,832889
超伟股份,0,832890
紫光通信,0,832894
浩瀚股份,0,832895
道有道,1,832896
紫荆股份,0,832900
指安科技,1,832906
正方股份,0,832911
西奥科技,0,832913
汉尧环保,1,832915
鼎讯股份,1,832918
曼氏生物,0,832928
九典制药,0,832933
普天数码,1,832934
国林环保,1,832938
意畅科技,0,832947
益盟股份,1,832950
华进科技,0,832951
坤七药业,0,832952
创识科技,1,832953
七丹药业,0,832955
矽瑞股份,0,832957
悦居智能,0,832962
道尔智控,1,832966
思亮信息,1,832973
富雷实业,0,832976
怡林实业,0,832980
锦波生物,1,832982
泡宝网,0,832983
瑞诺医疗,0,832986
力软科技,0,832988
鑫博技术,0,832989
神戎电子,0,832992
民生科技,1,832996
法本信息,0,832999
星汉股份,0,833002
博阅科技,0,833004
东华宏泰,0,833007
开拓明天,0,833009
江奥光电,0,833011
和凡医药,0,833012
海清源,0,833018
宁冠鸿,0,833020
欧迈机械,0,833022
速普得,0,833023
欣智恒,0,833024
精英天成,0,833028
鹏信科技,1,833029
立方控股,0,833030
大唐融合,1,833035
ST米米乐,0,833048
欣威视通,0,833050
通用数据,0,833056
顺治科技,0,833060
立翔科技,0,833062
高华股份,0,833063
绿色空间,0,833064
川油科技,0,833065
亿联科技,1,833066
中德宏泰,1,833067
三耐环保,0,833070
科恩锐通,0,833071
大江传媒,0,833072
威盛电子,0,833073
优万科技,0,833074
方元明,0,833076
伯肯节能,0,833077
捷玛信息,0,833078
赛奇股份,0,833084
明药堂,0,833086
索福特,0,833089
希科普,0,833093
福建邮通,0,833095
仰邦科技,0,833096
爱己爱牧,0,833100
禾元生物,0,833101
融都科技,0,833102
鸣利来,0,833107
博冠科技,0,833108
灵犀金融,1,833109
畅尔装备,0,833115
瑞铁股份,0,833120
中仪股份,0,833122
中盈科技,0,833124
晶品压塑,0,833127
中源智人,0,833135
耀华医疗,0,833141
ST天智,0,833145
安宁创新,0,833150
同方健康,0,833151
剧星传媒,0,833153
东工股份,0,833155
马上游,1,833158
鲁班药业,0,833160
齐顺科技,0,833163
智科股份,0,833165
亿能达,0,833170
浩瀚深度,0,833175
中美福源,0,833178
泰久信息,0,833181
富煌科技,0,833185
华生基因,0,833190
佑康股份,0,833192
盈和科技,0,833193
荣邦医疗,0,833196
灵岩医疗,0,833199
宏业农装,0,833200
仁盈科技,0,833201
威尔克,0,833203
博采网络,1,833205
摆渡股份,0,833208
海欣药业,0,833211
汇乐环保,0,833214
九叶科技,0,833217
优森股份,0,833218
软汇科技,0,833219
思比科,0,833220
艾为电子,0,833221
欧康医药,0,833230
天准科技,1,833231
美创医疗,0,833234
国路安,0,833237
弛达科技,0,833240
龙辰科技,0,833243
骏环昇旺,0,833244
军一物联,0,833247
东忠科技,0,833251
帜讯信息,1,833252
鹤群智能,0,833264
生物谷,1,833266
北亚时代,0,833268
臣功制药,0,833274
神拓机电,1,833275
丽晶软件,0,833277
海斯比,0,833286
瑞立达,1,833290
亿邦股份,1,833294
三希科技,0,833296
悦高软件,0,833298
久康云,0,833299
方胜有成,0,833313
中诚股份,0,833314
图敏视频,0,833318
图卫科技,0,833320
广通软件,0,833322
金盾软件,0,833326
君实生物,1,833330
爱夫卡,1,833331
多尔晋泽,0,833332
胜软科技,1,833339
奥美森,0,833340
威贸电子,0,833346
亿阳值通,0,833348
东尚信息,0,833352
天涯社区,0,833359
华阳微电,0,833363
朗尼科,0,833369
锐融科技,0,833373
手付通,0,833375
童石网络,0,833377
深深爱,0,833378
源和药业,1,833379
宏安翔,0,833381
金钱猫,0,833389
天舰股份,0,833397
香哈网,0,833399
宏景股份,0,833411
帝瀚环保,0,833412
凡拓创意,1,833414
掌上纵横,0,833416
百玩游戏,0,833420
金利洁,0,833421
康海时代,0,833422
穗晶光电,1,833423
电庄股份,0,833424
先控电气,0,833426
亿邦制药,0,833437
华恒股份,0,833444
凯力船艇,0,833447
灵动微电,1,833448
联达动力,1,833449
云朵网,0,833457
悦为电商,0,833458
京华信息,0,833459
金凤股份,0,833461
苏州沪云,0,833464
特力惠,0,833465
盛盈汇,1,833466
爱普医疗,0,833469
泰聚泰,0,833470
利扬芯片,0,833474
点动股份,0,833476
希德电子,0,833477
朗德金燕,0,833479
硕达科技,0,833485
伟旺达,0,833488
美特安全,0,833489
佳讯创新,0,833490
世纪金政,0,833494
微瑞思创,1,833495
光大教育,0,833500
骐俊股份,1,833504
美的连,0,833505
美安普,0,833507
精工股份,1,833508
派诺光电,0,833513
人福药辅,0,833518
海积信息,0,833521
马斯汀,0,833527
宁波中药,1,833528
视纪印象,1,833529
神玥软件,0,833534
新康达,0,833541
锐丰科技,0,833548
湾流股份,0,833549
路维光电,0,833550
威尔数据,0,833552
新翔科技,0,833554
华南信息,0,833555
施勒智能,0,833556
中诺思,0,833557
亚太天能,1,833559
新科谷,0,833561
华谊创星,0,833568
蓝擎股份,0,833569
爱知之星,0,833574
康乐卫士,0,833575
金尚互联,0,833576
欧林生物,0,833577
鼎盛精工,0,833579
华特信息,0,833582
网班教育,0,833587
多维度,0,833589
开创环保,0,833591
中斗科技,0,833594
雷格讯,1,833597
航天生物,0,833607
乐通通信,0,833609
山东天力,0,833610
镭之源,0,833611
北方新媒,0,833612
华夏显示,0,833613
翼码科技,1,833614
迪派无线,0,833618
佰聆数据,1,833619
无锡煤机,0,833620
维和药业,1,833624
合力亿捷,1,833629
汇通金融,1,833631
瑞德智能,0,833635
贝斯达,0,833638
广州中崎,0,833640
瀚高股份,1,833644
安联锐视,0,833645
得轩堂,0,833648
美亚药业,0,833650
天虹数码,0,833655
铁血科技,1,833658
